m	dm	10
m	cm	100
m	mm	1000
L	mL	1000
L	dm^3	1
yd 	in 	36
in 	cm 	2.54
km 	m 	1000
ha 	m^2 	1E4
h 	s 	3600
W 	J/s 	1
ftn	s	1209600
fur	yd	220

# Some constants
pi 	1 	3.1415926535897932384626433832795028841971693993751058
N_A 	1/mol 	6.02214129E23
e	1	2.71828182845904523536028747135266249776
phi	1	1.6180339887498948482045868343656381177203091798057628
